Time,Counts/day,Error
90.576863,35.346767,2.886051
97.572542,30.946492,2.724687
104.569093,31.082848,2.736692
110.454934,30.421698,3.585231
116.237500,30.682655,2.711989
122.962566,30.032731,2.863509
127.920764,33.750175,3.160994
135.370818,26.433665,2.309520
144.422133,25.827899,2.485291
156.488611,30.506584,2.717742
165.888765,24.032023,2.793666
179.239005,21.105495,2.176866
186.242975,19.240769,2.051073
193.239688,21.698137,2.169814
200.248920,18.945687,2.054948
208.718160,22.707089,2.237396
216.566335,21.874822,2.209691
223.567917,16.583602,1.877723
230.396925,22.588971,2.281831
237.520656,19.425493,2.059098
244.515529,17.164931,1.931206
251.530691,17.888070,1.975407
258.522392,15.370306,2.152273
265.531424,16.296737,1.869364
272.534722,17.253955,1.929051
279.531863,12.682290,1.679810
286.468843,17.575086,2.029396
320.043156,13.269473,1.742367
340.194495,16.041867,1.931214
348.712535,11.880367,1.732930
356.406682,15.605999,2.014726
412.532442,13.273642,1.699516
419.532840,11.640006,1.584004
426.541119,10.478750,1.496964
496.598256,99.712262,4.825415
503.632292,58.960651,3.714172
510.628534,45.133962,3.107150
516.601775,34.539655,3.339074
522.307346,31.170523,2.597544
529.300787,32.134507,2.668626
536.297562,22.005400,2.234310
543.301609,24.562004,2.374499
549.983106,20.200888,2.332598
555.635197,15.839544,2.135804
568.124877,14.573051,1.850779
587.638827,15.348773,1.847775
594.590204,12.778890,1.663670
601.597276,14.643856,1.750276
608.595351,11.382425,1.563496
615.598862,11.276570,1.563779
624.217060,9.953189,1.554427
634.264815,9.076204,1.579964
641.276281,11.628683,1.568011
647.960783,10.056821,1.590123
652.932149,7.971428,1.431711
