Time,Counts/day,Error
90.576863,7.765628,1.351822
97.572542,10.306186,1.571679
104.569093,8.880758,1.440649
110.454934,7.009587,1.652176
116.237500,6.142075,1.253746
122.962566,8.349229,1.577856
127.920764,7.031932,1.499213
135.370818,7.492619,1.304298
144.422133,6.240540,1.273845
156.488611,5.978251,1.274567
165.888765,4.396010,1.219234
179.239005,4.068640,0.986790
186.242975,3.775757,0.943939
193.239688,5.266315,1.098103
200.248920,4.533458,1.040047
208.718160,3.152293,0.874289
216.566335,4.574215,1.049397
223.567917,5.000822,1.066179
230.396925,3.507176,0.937332
237.520656,3.809830,0.952458
244.515529,4.561422,1.019965
251.530691,4.660907,1.042210
258.522392,3.301389,0.995406
265.531424,3.094765,0.827111
272.534722,2.909259,0.806883
279.531863,3.437973,0.887681
286.468843,3.803697,0.950924
320.043156,2.639866,0.795950
340.194495,2.728638,0.822715
348.712535,5.341358,1.225391
356.406682,1.354911,0.605935
407.863654,1.702234,0.694934
414.865972,2.707374,0.723576
421.877635,2.330055,0.672629
428.862199,1.783406,0.594469
496.598275,14.096045,1.775935
503.632292,5.404946,1.152338
510.628534,5.928014,1.100805
516.601917,3.003003,0.949633
522.307346,3.979414,0.912940
529.300787,1.072278,0.479537
536.297608,2.087268,0.788913
543.301601,1.472726,0.658623
549.983094,1.367292,0.611472
555.635220,2.755918,0.871498
568.124877,1.577318,0.596170
587.638839,1.491317,0.563665
594.590204,1.509947,0.570706
601.597276,0.421185,0.297823
608.595351,1.495901,0.565398
619.548275,0.972118,0.486059
634.264815,0.828796,0.478505
641.276281,0.837748,0.418874
648.295756,0.506224,0.357954
