Time,Counts/day,Error
90.576898,11.139782,2.033837
97.572542,11.621493,2.121785
104.569128,10.884115,2.056904
110.454934,10.507005,2.626751
116.237500,9.668124,1.973497
122.962566,7.410908,1.746768
127.920764,11.844116,2.199397
135.370826,7.296807,1.459361
144.422133,4.763771,1.321232
156.488611,6.203387,1.462152
165.888765,8.662463,1.987305
179.239005,9.567359,1.718348
186.242975,4.944577,1.236144
193.239707,5.871220,1.312845
200.248920,5.897393,1.352955
208.718160,5.734607,1.351660
216.566350,5.305728,1.286828
223.567917,4.528043,1.169136
230.396925,6.420423,1.435650
237.520691,3.681411,1.062732
244.515529,2.766796,0.922265
251.530691,2.998472,0.948200
258.522427,3.956590,1.251184
265.531424,5.138868,1.211243
272.534711,5.025489,1.256372
279.531863,6.547784,1.428844
286.468843,4.621404,1.235122
320.043156,4.934737,1.318864
340.194495,4.846487,1.344174
348.712535,4.696456,1.416035
410.197095,4.260343,1.229855
417.200058,1.919367,0.725452
424.209680,2.228316,0.787829
496.598275,14.574319,2.103622
503.632292,11.296541,1.857140
510.628534,8.004601,1.486417
516.601917,7.313314,1.723765
522.307346,6.195098,1.320799
529.300787,5.519606,1.266285
536.297608,3.591124,1.082764
543.301601,2.484950,0.878562
549.983094,3.130251,1.043417
555.635220,5.133063,1.371869
568.124877,2.416135,0.854233
587.638839,2.543606,0.847869
594.590204,2.607476,0.869159
601.597276,1.410206,0.630663
608.595351,2.543190,0.847730
615.598862,2.303695,0.814479
624.217060,1.596575,0.714010
634.264815,3.292918,1.097639
641.276281,1.118172,0.559086
647.960783,1.673881,0.748582
652.932149,0.660935,0.467352
